Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia,Em_SARAH,Hm_SARAH,SDm_SARAH,Em_NSRDB,Hm_NSRDB,SDm_NSRDM
-7.8005,-38.649,5634,2075,5816,5809,2421,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,136.0,180,4.49,143.0,188,4.39
-7.8005,-38.549,5662,2075,5836,5831,2425,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,137.0,180,4.3,142.0,188,3.41
-7.8005,-38.449,5644,2075,5823,5820,2418,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,138.0,181,4.03,141.0,186,3.99
-7.8005,-38.349000000000004,5693,2062,5837,5832,2424,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,137.0,180,4.26,141.0,186,4.56
-7.8005,-38.249,5687,2082,5832,5823,2419,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,136.0,180,4.38,141.0,186,4.84
-7.8005,-38.149,5745,2071,5872,5864,2428,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,134.0,176,4.46,145.0,191,4.89
-7.8005,-38.049,5736,2058,5883,5876,2435,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,137.0,180,3.61,145.0,191,4.55
-7.8005,-37.949,5598,2075,5807,5805,2415,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,139.0,183,3.22,143.0,188,3.45
-7.8005,-37.849000000000004,5643,2066,5821,5820,2419,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,140.0,185,3.1,143.0,189,3.09
-7.8005,-37.749,5689,2071,5846,5843,2424,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,140.0,185,3.03,143.0,188,4.02
-7.8005,-37.649,5616,2094,5819,5815,2407,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,139.0,183,3.01,143.0,189,4.2
-7.8005,-37.549,5671,2077,5842,5837,2423,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,139.0,183,2.97,143.0,189,3.26
-7.8005,-37.449,5606,2089,5813,5809,2414,235.93769633507856,91.671,26.78897341624365,3.512386519736842,7.188448717948718,1105.0,71.14223600000003,16.974912532994924,897.3142078865249,141.0,185,3.62,142.0,187,3.42
-7.8005,-37.349000000000004,5608,2087,5804,5803,2403,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,142.0,187,3.48,142.0,187,3.33
-7.8005,-37.249,5628,2085,5812,5810,2407,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,141.0,186,3.66,143.0,188,2.87
-7.8005,-37.149,5582,2088,5808,5804,2414,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,141.0,185,3.55,144.0,189,3.22
-7.8005,-36.449,5060,2185,5587,5582,2344,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,135.0,178,4.49,142.0,187,3.39
-7.8005,-36.349000000000004,4958,2203,5544,5538,2332,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,134.0,177,4.49,139.0,183,2.8
-7.8005,-36.249,4767,2238,5447,5441,2295,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,134.0,176,4.52,137.0,181,3.15
-7.8005,-36.149,4722,2244,5432,5428,2288,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,135.0,179,4.03,138.0,182,2.52
-7.8005,-36.049,4621,2266,5400,5396,2269,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,133.0,176,4.37,136.0,180,2.89
-7.8005,-35.949,4612,2256,5383,5379,2281,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,134.0,176,4.06,138.0,182,3.1
-7.8005,-35.849000000000004,4520,2248,5344,5341,2282,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,134.0,177,3.57,133.0,176,2.56
-7.8005,-35.749,4437,2259,5304,5300,2271,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,134.0,177,3.42,131.0,173,2.26
-7.8005,-35.649,4454,2252,5291,5287,2274,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,129.0,170,5.14,131.0,173,2.81
-7.8005,-35.549,4273,2272,5195,5192,2239,231.36534653465344,50.887254901960794,29.93698285714286,3.908435514705882,7.0681690196078435,418.32,75.76903845833334,20.223180310344826,966.8524341617647,130.0,172,4.44,127.0,168,2.34
